id,lineage,original_id,boltz_pl,esm3_ptm,chai_pl,af3_pl,burial,haem_coordination_gate,track7_all5_mean
2,id43,128,0.8057,0.9336,0.143,0.38,0.2101,True,0.4945
24,id8,78,0.737,0.9302,0.1779,0.43,0.2198,False,0.499
26,id8,5,0.7348,0.9319,0.1773,0.33,0.4095,False,0.5167
30,id43,119,0.7508,0.9093,0.1873,0.37,0.2216,True,0.4878
25,id43,141,0.7857,0.8808,0.1508,0.43,0.8035,True,0.6102
31,id43,49,0.724,0.9353,0.1724,0.37,0.6992,True,0.5802
5,id8,164,0.7704,0.9304,0.155,0.46,0.1511,True,0.4934
11,id46,89,0.7471,0.9362,0.1881,0.3,0.4171,False,0.5177
34,id8,65,0.7241,0.9336,0.147,0.31,0.8439,True,0.5917
45,id8,3,0.7231,0.9282,0.1504,0.46,0.5546,True,0.5633
9,id43,71,0.7529,0.9332,0.1857,0.38,0.4052,False,0.5314
38,id46,35,0.7225,0.9313,0.1629,0.34,0.3036,True,0.492
4,id46,39,0.7823,0.931,0.1689,0.44,0.9454,False,0.6535
28,id8,158,0.7276,0.936,0.1387,0.42,0.5938,True,0.5632
17,id43,74,0.7406,0.9363,0.1376,0.34,0.2946,True,0.4898
6,id46,135,0.7577,0.9368,0.1696,0.3,0.2365,False,0.4801
23,id46,170,0.7592,0.9089,0.1889,0.38,0.2892,True,0.5052
18,id43,67,0.7389,0.9359,0.1783,0.33,0.2865,False,0.4939
15,id8,101,0.7418,0.9368,0.1493,0.35,0.2541,True,0.4864
8,id8,2,0.7556,0.9311,0.1901,0.4,0.3434,False,0.524
33,id8,162,0.7315,0.9266,0.141,0.38,0.7099,True,0.5778
29,id8,107,0.7366,0.9268,0.1467,0.37,0.4154,False,0.5191
46,id43,76,0.7178,0.9326,0.1798,0.33,0.4329,True,0.5186
13,id43,150,0.7505,0.931,0.189,0.3,0.3029,True,0.4947
32,id8,84,0.7251,0.9339,0.1361,0.41,0.7463,True,0.5903
3,id8,56,0.7957,0.9292,0.131,0.49,0.5483,True,0.5788
12,id8,10,0.7797,0.9026,0.1402,0.44,0.4604,True,0.5446
50,id46,57,0.7173,0.9309,0.1446,0.4,0.674,True,0.5734
27,id8,9,0.7314,0.9326,0.1516,0.35,0.4624,True,0.5256
43,id8,91,0.714,0.9378,0.1831,0.33,0.321,False,0.4972
36,id46,177,0.7184,0.9377,0.1562,0.34,0.4018,True,0.5108
1,id8,130,0.8141,0.9324,0.5645,0.44,0.7417,True,0.6985
35,id46,75,0.723,0.9344,0.3045,0.37,0.6687,True,0.6001
42,id43,31,0.7178,0.9347,0.1532,0.35,0.7375,True,0.5786
48,id8,195,0.7528,0.8961,0.1471,0.31,0.7971,True,0.5806
41,id46,17,0.7548,0.8981,0.1402,0.42,0.7114,True,0.5849
10,id46,25,0.7515,0.9322,0.1658,0.4,0.4092,False,0.5318
14,id46,6,0.7467,0.9346,0.1881,0.4,0.1721,False,0.4883
20,id46,144,0.7401,0.9317,0.1483,0.38,0.6638,True,0.5728
37,id46,45,0.7444,0.9107,0.17,0.43,0.6887,False,0.5888
21,id8,155,0.752,0.9178,0.1537,0.39,0.4899,True,0.5407
7,id43,25,0.7526,0.9341,0.1416,0.34,0.2479,True,0.4833
44,id8,194,0.7135,0.9382,0.1473,0.4,0.6866,True,0.5771
19,id43,44,0.7391,0.9334,0.1474,0.39,0.6921,False,0.5804
39,id43,33,0.7188,0.9349,0.1494,0.32,0.3294,False,0.4905
16,id8,46,0.7442,0.9344,0.1824,0.35,0.2793,False,0.4981
40,id46,136,0.7607,0.8926,0.1695,0.46,0.64,True,0.5846
49,id8,16,0.7146,0.934,0.1891,0.42,0.2759,True,0.5067
22,id8,75,0.737,0.9315,0.1498,0.35,0.4574,True,0.5251
47,id8,66,0.7212,0.9292,0.1712,0.36,0.1768,False,0.4717
